FID,OBJECTID,CODE,LIBELLE,CONNEX,LIGNE,x,y,producteur,moa,date_diffu,id,Stations_TC,Temps_rac_TC,id_2,Station_TC_2,Temps_rac_TC_2
0,74,GA25,"Rueil - Suresnes """"Mont-Val?rien""""",Non,L15,1641475.455200000000000,8186127.545800000400000,SGP, ,15/12/2016,43536,LA DEFENCE-GRANDE ARCHE,9,43196,SAINT-CLOUD,3
1,75,GA26,Nanterre La Boule,Non,L15,1641468.814900000100000,8187816.586299999600000,SGP, ,15/12/2016,43536,LA DEFENCE-GRANDE ARCHE,6,43196,SAINT-CLOUD,6
2,82,GA52,CEA Saint-Aubin,Non,L18,1638342.284400000000000,8170298.275299999900000,SGP, ,15/12/2016,58774,MASSY-PALAISEAU,9,43219,VERSAILLES-CHANTIERS,9
3,83,GA50,Palaiseau,Non,L18,1641205.647900000000000,8168658.503999999700000,SGP, ,15/12/2016,58774,MASSY-PALAISEAU,3,,,
4,86,GA03,Aulnay,Non,L16,1662492.907900000000000,8194770.883399999700000,SGP, ,15/12/2016,43231,LE BOURGET,6,,,
5,87,GA02,Le Blanc-Mesnil,Non,L16,1660662.960100000000000,8194097.909500000100000,SGP, ,15/12/2016,43231,LE BOURGET,3,,,
6,90,GA51,Orsay - Gif,Non,L18,1639164.981699999900000,8168319.301699999700000,SGP, ,15/12/2016,58774,MASSY-PALAISEAU,6,43219,VERSAILLES-CHANTIERS,12
7,94,GA17,Villejuif Institut Gustave Roussy,Interconnexion,L15/L14,1652199.356200000000000,8177191.670800000400000,SGP, ,15/12/2016,45049,VILLEJUIF-LOUIS ARAGON,3,43067,ARCUEIL-CACHAN,3
8,97,GA42,Kremlin-Bicitre Htpital,Non,L14,1652243.547800000100000,8179055.669900000100000,SGP,RATP,15/12/2016,44057,MAISON BLANCHE,3,,,
9,98,GA53,Saint-Quentin Est,Non,L18,1631744.096399999900000,8173818.225499999700000,SGP, ,15/12/2016,43219,VERSAILLES-CHANTIERS,6,58774,MASSY-PALAISEAU,12
10,104,GA48,Massy Op1ra,Non,L18,1647874.830300000000000,8170410.812500000000000,SGP, ,15/12/2016,58774,MASSY-PALAISEAU,3,,,
11,105,GA47,Antonyp-le,Non,L18,1649250.325900000100000,8170856.419800000300000,SGP, ,15/12/2016,58774,MASSY-PALAISEAU,6,,,
12,106,GA55,Satory,Non,L18,1634182.076600000000000,8176715.061999999900000,SGP, ,15/12/2016,43219,VERSAILLES-CHANTIERS,3,,,
13,108,GA06,Clichy - Montfermeil,Interconnexion,L16,1667496.064599999900000,8189492.422799999800000,SGP, ,15/12/2016,46536,CHELLES-GOURNAY,3,43194,SEVRAN-LIVRY,3
14,110,GA19,Bagneux,Interconnexion,L15,1649956.590600000000000,8178293.047299999700000,SGP, ,15/12/2016,43067,ARCUEIL-CACHAN,3,42588,CHATILLON-MONTROUGE,3
15,112,GA23,Pont de S5vres,Interconnexion,L15,1643503.938200000000000,8181081.359600000100000,SGP, ,15/12/2016,43084,ISSY,6,,,
16,116,GA09,Bry - Villiers - Champigny,Interconnexion,L15,1665225.661300000000000,8180536.030000000300000,SGP, ,15/12/2016,58267,LES BOULLEREAUX-CHAMPIGNY,3,,,
17,117,GA10,Champigny Centre,Interconnexion,L15,1663432.780100000100000,8179681.568599999900000,SGP, ,15/12/2016,44801,SAINT-MAUR-CRETEIL,3,46552,NOGENT-LE-PERREUX,3
18,121,GA15,Vitry Centre,Non,L15,1654976.492000000100000,8176818.941399999900000,SGP, ,15/12/2016,45049,VILLEJUIF-LOUIS ARAGON,3,43227,LES ARDOINES,3
19,133,GA65,Mairie d/Aubervilliers,Interconnexion,L15,1654691.733800000000000,8190640.453400000000000,SGP, ,15/12/2016,43145,LA PLAINE-STADE DE France,3,47891,FORT D/AUBERVILIERS,3
20,137,GA35,Le Bourget Aoroport,Non,L17,1658721.762500000000000,8194228.122899999800000,SGP, ,15/12/2016,43231,LE BOURGET,3,,,
21,138,GA36,Triangle de Gonesse,Interconnexion,L17,1661671.319100000000000,8197763.148699999800000,SGP, ,15/12/2016,43231,LE BOURGET,6,47878,PARC DES EXPOSITIONS,3
22,139,GA40,Le Mesnil-Amelot,Non,L17,1670421.442600000000000,8202957.951299999800000,SGP, ,15/12/2016,43231,LE BOURGET,15,47878,PARC DES EXPOSITIONS,8
